Name	Commit		GitHub URL	Parent commit	Test Name	Date	Modyfing	Comments	Categories Guillaume	Categories Adriano	Categories final decision	Module suspected to be flaky	Line rank	Method rank	Class rank	Class rank (worst case)	Within the top x% (churn)  	top x% (# of developers)  	top x% (age)  		#Tests	#Classes	#CoveredClasses	#CoveredClassesByFlakyTests
neo4j/neo4j	92c320f45f05b7dca18d749587e36ee27209e86a		https://github.com/neo4j/neo4j/commit/92c320f45f05b7dca18d749587e36ee27209e86a			2019	Code	1																
neo4j/neo4j	1081139b8acb2eda4e815b4b838dbda297abe6bf		https://github.com/neo4j/neo4j/commit/1081139b8acb2eda4e815b4b838dbda297abe6bf			2020	Code	8																
neo4j/neo4j	13b39272356098e3ae2ebdf6d61a4a7644b10505		https://github.com/neo4j/neo4j/commit/13b39272356098e3ae2ebdf6d61a4a7644b10505			2021	Code	8																
neo4j/neo4j	dd15215b0de8504fd743310892e772dbfc7f616b		https://github.com/neo4j/neo4j/commit/dd15215b0de8504fd743310892e772dbfc7f616b	684fd26156bb53adfd9547f153897653c746b47a	LdapAuthIT#shouldTimeoutIfInvalidLdapServer	2017	Test and Code		Network	Network	Network	LdapRealm		9	1		9.7	38.7	29		615	43	29	9
neo4j/neo4j	bae14c89615834ffed1c123a7ac8dfe8811daccd		https://github.com/neo4j/neo4j/commit/bae14c89615834ffed1c123a7ac8dfe8811daccd	2a3fb78f3ad2bf58e16c4bed9417dd1030b61411	schema.IndexPopulationIT#shutdownDatabaseDuringIndexPopulations	2017	Test and Code	 	Concurrency	Concurency	Concurrency	IndexPopulationJobController, IndexingService, RecordStorageEngine		235	36		100, 0.8, 2.7	100, 1.2, 4.7	0.3, 0.3, 0.3		5782	1817	1038	480
neo4j/neo4j	4c811841365a41c970338d8c2d730ebb84e9a2c1		https://github.com/neo4j/neo4j/commit/4c811841365a41c970338d8c2d730ebb84e9a2c1			2017	Test and Code	3																
neo4j/neo4j	3003eabd75e0c3602ffad9b6d671b06d8d8d9755		https://github.com/neo4j/neo4j/commit/3003eabd75e0c3602ffad9b6d671b06d8d8d9755	ddf6b93b693b229381d5a9e54e55d0ee39a51adc	RaftMessageProcessingMetricTest#shouldBeAbleToUpdateAllMessageTypes	2018	Test and Code		Time	Concurency	Concurrency	RaftMessageProcessingMetric		5	1		100	100	13.9		21	36	41	1
neo4j/neo4j	9e98b49a820a1575a374237a912c21bdf2df5af5		https://github.com/neo4j/neo4j/commit/9e98b49a820a1575a374237a912c21bdf2df5af5			2018	Test and Code	2																
neo4j/neo4j	837ed25ea871efb329fb6a8165c528cd2015eaba		https://github.com/neo4j/neo4j/commit/837ed25ea871efb329fb6a8165c528cd2015eaba			2018	Test and Code	1																
neo4j/neo4j	24a87dcf5917b135d4cb4aee623733726549e5cd		https://github.com/neo4j/neo4j/commit/24a87dcf5917b135d4cb4aee623733726549e5cd			2018	Test and Code	1																
neo4j/neo4j	baf3e1c41ce282bb9c59728d4fd36718bf89a281		https://github.com/neo4j/neo4j/commit/baf3e1c41ce282bb9c59728d4fd36718bf89a281		HalfAppliedConstraintRecoveryIT.recoverFromAndRecreateHalfCompositeNodeKeyConstraintAppliedBeforeCrash	2019	Test and Code	1				NativeIndexHeaderReader												
neo4j/neo4j	970637fab771de27a2c0d020b0dbe96324e04c89		https://github.com/neo4j/neo4j/commit/970637fab771de27a2c0d020b0dbe96324e04c89			2019	Test and Code	2																
neo4j/neo4j	3dffc8bf5cbf5a4c1e3dcdb15fc6b6444436a6a7		https://github.com/neo4j/neo4j/commit/3dffc8bf5cbf5a4c1e3dcdb15fc6b6444436a6a7			2019	Test and Code	8																
neo4j/neo4j	010cc8f5e3230cbf8309ecadbc3503c0f270e275		https://github.com/neo4j/neo4j/commit/010cc8f5e3230cbf8309ecadbc3503c0f270e275			2019	Test and Code	8																
neo4j/neo4j	21b812230c52cf642b3f3b69c5521f2022a85406		https://github.com/neo4j/neo4j/commit/21b812230c52cf642b3f3b69c5521f2022a85406			2020	Test and Code	8																
neo4j/neo4j	502d665b16240bb6ca5fa32d51384b2693d30d56		https://github.com/neo4j/neo4j/commit/502d665b16240bb6ca5fa32d51384b2693d30d56			2020	Test and Code	8																
neo4j/neo4j	021d4e308d6b2834ee46aa9808d7e4b7618fc3f5		https://github.com/neo4j/neo4j/commit/021d4e308d6b2834ee46aa9808d7e4b7618fc3f5			2020	Test and Code	8																
neo4j/neo4j	cc474306db8ac5a4c81dc91d0db33364061cb406		https://github.com/neo4j/neo4j/commit/cc474306db8ac5a4c81dc91d0db33364061cb406			2020	Test and Code	8																
neo4j/neo4j	926e5d42d8879f7cb9275cf65dfb3ba674b0bd14		https://github.com/neo4j/neo4j/commit/926e5d42d8879f7cb9275cf65dfb3ba674b0bd14			2020	Test and Code	8																
neo4j/neo4j	044d5b34ab736fc9e4ffb719e041441c58569b86		https://github.com/neo4j/neo4j/commit/044d5b34ab736fc9e4ffb719e041441c58569b86			2020	Test and Code	8																
neo4j/neo4j	71a244164d9c66a249e14c1031b8a14e823c979d		https://github.com/neo4j/neo4j/commit/71a244164d9c66a249e14c1031b8a14e823c979d			2021	Test and Code	8																
																								
apache/ignite	9cfb05011ab5085c8166fc0ba8b1047906845694		https://github.com/apache/ignite/commit/9cfb05011ab5085c8166fc0ba8b1047906845694	0e8031444b2f0d68fd3fb5a9ba03ca4d6a0c4e2d	CacheLateAffinityAssignmentTest.testRandomOperations	2017	Code		Hard to classify		Hard to classify	IgniteTxImplicitSingleStateImpl		0	33						42	1399	623	507
apache/ignite	6136ecd1a92cac26894c74a306b3df6d5646c524		https://github.com/apache/ignite/commit/6136ecd1a92cac26894c74a306b3df6d5646c524	65e1c577906d41e85aa80cba6271e693aba32d3c	GridServiceProcessorMultiNodeConfigSelfTest#testDeployOnEachNodeUpdateTopology	2018	Code		Hard to classify	Concurrency	Concurrency	GridServiceProcessor			17		2.1	2.2	7		162	1577	723	542
apache/ignite	30484c0ad25f3717a2f8f7884b8f2f26e2cc90af		https://github.com/apache/ignite/commit/30484c0ad25f3717a2f8f7884b8f2f26e2cc90af	5e37dde5e505ef3f4449e941ed4125a30e9d0057	GridCacheReplicatedDataStructuresFailoverSelfTest#testSemaphoreNonFailoverSafe	2018	Code		Concurrency	Concurrency	Concurrency	DataStructuresProcessor		0	28		4.8	4.5	0.5		114	1597	730	429
apache/ignite	e8ec99622ed09a53fb021cb45d6ecf40edbf168e		https://github.com/apache/ignite/commit/e8ec99622ed09a53fb021cb45d6ecf40edbf168e	ac208da8891904e00e4bee6d3d13c46378f7e920	TcpDiscoverySslSelfTest#testNodeShutdownOnRingMessageWorkerStartNotFinished	2018	Code		Concurrency	Concurrency	Concurrency	ServerImpl , IgnitionEx		0	2		3.5, 2.1	1.6, 1.6	3.5, 12.3		301	1673	800	449
apache/ignite	0fddf1a8b46482e3d0016b48e2cc9ba4bde026fb		https://github.com/apache/ignite/commit/0fddf1a8b46482e3d0016b48e2cc9ba4bde026fb	e3dbc8f32a39fee5190ba59d43398cd0724b6a8f	GridServiceProcessorBatchDeploySelfTest.testDeployAllTopologyChange	2019	Code	6				GridServiceProcessor												
apache/ignite	84298cf4e85edd137ddceb1f203c5f9e2837d4d4		https://github.com/apache/ignite/commit/84298cf4e85edd137ddceb1f203c5f9e2837d4d4	a2e1230aeec734aa0b09cc5688e266c645666ada	IgnitePersistentStoreCacheGroupsTest#testExpiryPolicy	2019	Code		Time		Time	GridCacheDatabaseSharedManager		0	20		2.5	1.4	2.9		1018	2051	998	199
apache/ignite	a167a064081329285eab6bb90db26ebd6f0ed344		https://github.com/apache/ignite/commit/a167a064081329285eab6bb90db26ebd6f0ed344	656b2f112c9949b8d9bd101ec0012c9c5968818d	CacheSerializableTransactionsTest#testGetRemoveTxNearCache1 & 2	2019	Code		IO	IO	IO	GridCacheMapEntry, GridCacheMvcc		423	12		0.5, 23.9	0.8, 37.5	9.0, 8.5		91	1696	770	334
apache/ignite	99e037c6cb548ff8c8f00418d1f692449832e82f		https://github.com/apache/ignite/commit/99e037c6cb548ff8c8f00418d1f692449832e82f	c8c21c384d793a3cb90f31d18b0f2c0e80a61e9c	GridMultinodeRedeploySharedModeSelfTest#testSharedMode	2020	Code		IO	Concurrency	Concurrency	GridDeploymentPerVersionStore		285	11		12.9	10.4	18.1		72	1697	824	647
apache/ignite	188e4d52c2d8085874fed9349b03fedeca6edb59		https://github.com/apache/ignite/commit/188e4d52c2d8085874fed9349b03fedeca6edb59	e2c597fff12192f736738569e244d0aee96b6e97	DistributedMetaStoragePersistentTest.testUnstableTopology	2020	Code		Unordered collections	Unordered collections	Unordered collections	MetaStorage,DmsDataWriterWorker		0	900		22.1, 86.0	10.0, 83.3	4.9, 6.6		103	1903	953	647
